symbol,archetype,balance_sheet_first_fy,balance_sheet_last_fy,balance_sheet_years,income_statement_first_fy,income_statement_last_fy,income_statement_years,cash_flow_first_fy,cash_flow_last_fy,cash_flow_years,canonical_fact_count,raw_fact_count,mapping_coverage_pct,unmapped_count,conflicted_count,valuation_core_ready,business_review_core_ready,value_trap_core_ready,history_band,notes
AAA,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
AAH,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
AAN,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
AAS,BANK,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
AAV,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ABB,BANK,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ABS,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ABW,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ACB,BANK,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ACC,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ACV,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
ADS,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
AFX,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
AGG,NORMAL_ENTERPRISE,,,0,,,0,,,0,0,0,0.0,0,0,BLOCKED,BLOCKED,INSUFFICIENT,INSUFFICIENT,SSI Primary Source
