statement_type,raw_line_name
BALANCE_SHEET,Bất động sản đầu tư
BALANCE_SHEET,Chi phí phải trả
BALANCE_SHEET,Chi phí phải trả dài hạn
BALANCE_SHEET,"Chi phí sản xuất, kinh doanh dở dang dài hạn"
BALANCE_SHEET,Chênh lệch tỷ giá
BALANCE_SHEET,Chênh lệch đánh giá lại tài sản
BALANCE_SHEET,Chứng khoán đầu tư giữ đến ngày đáo hạn
BALANCE_SHEET,Các khoản tương đương tiền
BALANCE_SHEET,Cổ phiếu Quỹ
BALANCE_SHEET,Cổ phiếu phổ thông
BALANCE_SHEET,Cổ phiếu ưu đãi
BALANCE_SHEET,Doanh thu chưa thực hiên
BALANCE_SHEET,Doanh thu chưa thực hiện ngắn hạn
BALANCE_SHEET,Dữ liệu được cung cấp bởi FiinTrade
BALANCE_SHEET,Dự phòng các khoản phải trả ngắn hạn
BALANCE_SHEET,Dự phòng giảm giá HTK
BALANCE_SHEET,Dự phòng giảm giá đầu tư dài hạn
BALANCE_SHEET,Dự phòng nợ khó đòi
BALANCE_SHEET,Dự phòng phải thu dài hạn
BALANCE_SHEET,Dự phòng trợ cấp thôi việc
BALANCE_SHEET,Dự phòng đầu tư ngắn hạn
BALANCE_SHEET,GTCL TSCĐ hữu hình
BALANCE_SHEET,GTCL Tài sản thuê tài chính
BALANCE_SHEET,GTCL tài sản cố định vô hình
BALANCE_SHEET,Giao dịch mua bán lại trái phiếu chính phủ
BALANCE_SHEET,Giá trị thuần đầu tư ngắn hạn
BALANCE_SHEET,Khấu hao lũy kế TSCĐ hữu hình
BALANCE_SHEET,Khấu hao lũy kế TSCĐ vô hình
BALANCE_SHEET,Khấu hao lũy kế tài sản thuê tài chính
BALANCE_SHEET,Khấu hao lũy kế tài sản đầu tư
BALANCE_SHEET,LNST chưa phân phối kỳ này
BALANCE_SHEET,LNST chưa phân phối lũy kế đến cuối kỳ trước
BALANCE_SHEET,Lãi chưa phân phối
BALANCE_SHEET,Lợi thế thương mại
BALANCE_SHEET,Lợi ích cổ đông không kiểm soát
BALANCE_SHEET,Lợi ích của cổ đông thiểu số
BALANCE_SHEET,Nguyên giá TSCĐ hữu hình
BALANCE_SHEET,Nguyên giá TSCĐ vô hình
BALANCE_SHEET,Nguyên giá tài sản thuê tài chính
BALANCE_SHEET,Nguyên giá tài sản đầu tư
BALANCE_SHEET,Nguồn kinh phí đã hình thành TSCĐ
BALANCE_SHEET,Người mua trả tiền trước
BALANCE_SHEET,Người mua trả tiền trước dài hạn
BALANCE_SHEET,Phải thu dài hạn
BALANCE_SHEET,Phải thu dài hạn khác
BALANCE_SHEET,Phải thu khác
BALANCE_SHEET,Phải thu khách hàng
BALANCE_SHEET,Phải thu khách hàng dài hạn
BALANCE_SHEET,Phải thu nội bộ
BALANCE_SHEET,Phải thu nội bộ dài hạn
BALANCE_SHEET,Phải thu thuế khác
BALANCE_SHEET,Phải thu về XDCB
BALANCE_SHEET,Phải trả dài hạn khác
BALANCE_SHEET,Phải trả khác
BALANCE_SHEET,Phải trả người bán
BALANCE_SHEET,Phải trả người lao động
BALANCE_SHEET,Phải trả nhà cung cấp dài hạn
BALANCE_SHEET,Phải trả nội bộ
BALANCE_SHEET,Phải trả nội bộ dài hạn
BALANCE_SHEET,Phải trả nội bộ về vốn kinh doanh
BALANCE_SHEET,Phải trả về xây dựng cơ bản
BALANCE_SHEET,Quyền chọn chuyển đổi trái phiếu
BALANCE_SHEET,Quỹ bình ổn giá
BALANCE_SHEET,Quỹ dự phòng tài chính
BALANCE_SHEET,Quỹ hỗ trợ sắp xếp doanh nghiệp
BALANCE_SHEET,"Quỹ khen thưởng, phúc lợi"
BALANCE_SHEET,"Quỹ khen thưởng, phúc lợi (trước 2010)"
