symbol,archetype,readiness,q1_status,q2_status,q3_status,q4_status,q5_status,q6_status,q7_status,q8_status,challenge_status,core_decision,decision_contradiction,missing_data_count
AAA,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,1
AAH,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,2
AAM,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,3
AAN,NORMAL_ENTERPRISE,PARTIAL,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,2
AAS,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,2
AAT,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,3
AAV,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,3
ABB,BANK,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,1
ABC,NORMAL_ENTERPRISE,READY,VULNERABLE,VULNERABLE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,3
ABI,NORMAL_ENTERPRISE,READY,VULNERABLE,RESILIENT,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,WATCH,VULNERABLE,RESILIENT,HIGH_RISK,AVOID,False,1
