symbol,archetype,history_years,receivables_status,receivables_source_type,latest_rec_ratio,latest_dso,dso_3y_change,gap_3y,cash_conversion_3y,value_trap_status,compounder_class,decision
AAA,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
AAH,NORMAL_ENTERPRISE,6,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
AAN,NORMAL_ENTERPRISE,3,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AAS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AAV,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ABB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
ABS,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ABW,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ACB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
ACC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ACV,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
ADS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AFX,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AGG,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AGR,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
AIG,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AMS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AMV,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ANT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ANV,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
APF,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
APG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
APH,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
API,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
APS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ASM,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
ASP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
AVG,NORMAL_ENTERPRISE,4,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BAF,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BCE,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BCM,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BDT,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BFC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BIC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BID,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
BIG,NORMAL_ENTERPRISE,7,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BKG,NORMAL_ENTERPRISE,9,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BMI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BMP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
BMS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BNA,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BSI,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,WEAK_BUSINESS,
BSR,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,AVERAGE_BUSINESS,
BVB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
BVH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BVS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
BWE,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
C32,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
C4G,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
C69,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CAP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CDC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CEO,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CII,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CLI,NORMAL_ENTERPRISE,1,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,INSUFFICIENT_DATA,
CLX,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CMG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
CMS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CQN,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CRC,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CRE,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CSM,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CSV,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
CTD,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CTF,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CTG,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
CTI,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
CTP,NORMAL_ENTERPRISE,12,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
CTR,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
CTS,SECURITIES,15,NOT_APPLICABLE,UNKNOWN,,,,,,CLEAR,WEAK_BUSINESS,
CVN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
D2D,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DBC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
DBD,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
DC4,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DCL,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DCM,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
DDB,NORMAL_ENTERPRISE,5,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DDV,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
DGC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
DGT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DGW,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DHA,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
DHB,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DHC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
DHG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
DIG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DL1,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DLG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DPG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
DPM,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
DPR,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
DRC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
DRH,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DRI,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
DSE,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DSH,NORMAL_ENTERPRISE,3,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DST,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DTD,NORMAL_ENTERPRISE,11,UNKNOWN,UNKNOWN,,,,,,WATCH,COMPOUNDER,
DVM,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
DVN,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DVP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,AVERAGE_BUSINESS,
DXG,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
DXP,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
DXS,NORMAL_ENTERPRISE,8,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
EIB,BANK,15,NOT_APPLICABLE,UNKNOWN,,,,,,HIGH_RISK,WEAK_BUSINESS,
ELC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
EVF,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
EVG,NORMAL_ENTERPRISE,13,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
EVS,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
F88,NORMAL_ENTERPRISE,6,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
FCN,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
FID,NORMAL_ENTERPRISE,14,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
FIR,NORMAL_ENTERPRISE,10,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
FIT,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,HIGH_RISK,DETERIORATING_BUSINESS,
FMC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,CLEAR,POTENTIAL_COMPOUNDER,
FOC,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,AVERAGE_BUSINESS,
FOX,NORMAL_ENTERPRISE,15,UNKNOWN,UNKNOWN,,,,,,WATCH,POTENTIAL_COMPOUNDER,
