symbol,archetype,history_start,history_end,history_years,data_readiness,financial_quality,earnings_quality,cash_flow_quality,balance_sheet,debt_liquidity,capital_efficiency,capital_allocation,dilution,accounting_consistency,forensic_findings_count,critical_findings,high_findings,medium_findings,deterioration_classification,value_trap,compounder_classification,valuation_status,base_iv,actual_mos,required_mos,mos_gate,final_decision,decision_reason
AAA,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,10314.01370569937,30.48,50.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE).
AAH,NORMAL_ENTERPRISE,2020,2025,6,READY,UNKNOWN,PASS,PASS,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,2,0,2,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,380.9263134189782,-398.78,35.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
AAM,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,8948.867912507174,16.19,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
AAN,NORMAL_ENTERPRISE,2023,2025,3,PARTIAL,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,3,0,2,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,5129.740756843064,-208.98,50.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE)."
AAS,NORMAL_ENTERPRISE,2011,2025,15,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,2,0,2,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,42645.125250385296,79.6,40.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE)."
AAT,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,WATCH,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,1737.5792880964827,-26.61,45.0,FAIL,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
AAV,NORMAL_ENTERPRISE,2014,2025,12,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,INCOMPLETE,,,0.0,UNKNOWN,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
ABB,BANK,2011,2025,15,READY,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,PASS,FAIL,PASS,UNKNOWN,PASS,1,0,1,0,NO_DETERIORATION,HIGH_RISK,WEAK_BUSINESS,READY,23975.385114474262,28.26,40.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (WEAK_BANK_ROE).
ABC,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,FAIL,FAIL,UNKNOWN,PASS,FAIL,WATCH,UNKNOWN,PASS,3,0,3,0,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,32056.455039526132,68.81,35.0,PASS,AVOID,"Phát hiện rủi ro tài chính nghiêm trọng (PROFIT_CASH_DIVERGENCE, WEAK_PROFITABILITY_ROE, UNSTABLE_EARNINGS_HISTORY)."
ABI,NORMAL_ENTERPRISE,2016,2025,10,READY,UNKNOWN,PASS,PASS,UNKNOWN,FAIL,PASS,PASS,UNKNOWN,PASS,2,0,1,1,POSSIBLY_STRUCTURAL,HIGH_RISK,DETERIORATING_BUSINESS,READY,27995.546711480838,31.77,50.0,FAIL,AVOID,Phát hiện rủi ro tài chính nghiêm trọng (EXCESSIVE_DEBT_LEVERAGE).
